TotalFile:7626	PakTime:2023-6-20 5:5:26	PakTimeSave:6490c316	CRC:c094f7ce
Index	ID	Time	FileName	Size	InPakSize	ComprFlag	CRC
0	183e7e	2020-8-22 20:36:14	\script\online\olympic.2014\oly_head.lua	24027	5723	4	effc21ae
1	1cf8df	2020-8-22 21:50:14	\script\vng\saleoff\proday.lua	8782	3140	4	db2687c6
2	1e1f04	2015-8-29 16:44:32	\script\中原一区\少林\trap\进少林.lua	44	44	0	a17a1b07
3	29feec	2020-1-6 21:28:32	\script\skill\明教阵兵\乾坤逆转(子).lua	1125	598	4	b9072c2
4	32ce85	2015-8-29 16:44:50	\script\pet\feed_pet.lua	112	109	4	c9fd6f24
5	3d43e5	2020-1-12 20:22:12	\script\skill\唐门任侠\惊鸿断.lua	1171	633	4	8fe187dc
6	3d6cac	2015-8-29 16:44:2	\script\online\viet_event\new_year_09\npc\cattle_npc.lua	2405	1175	4	41d080d6
7	3e6ec9	2015-8-29 16:44:24	\script\missions\yp\player_death.lua	298	232	4	dddc34e1
8	4e3aec	2015-8-29 16:44:32	\script\中原一区\梁山泊\npc\顾大嫂.lua	1852	629	4	7ab24847
9	552b00	2015-8-29 16:44:50	\script\shinynight_head.lua	1315	626	4	15ce38d0
10	6921da	2014-9-11 21:34:26	\settings\static_script\missions\cangjianshanzhuang\mission.lua	55268	11738	4	e8bb7888
11	694e7e	2015-8-29 16:44:10	\script\skill\昆仑天师\罡风诀(招).lua	1241	654	4	b43c4f23
12	705f91	2015-8-29 16:44:36	\script\online_activites\reborn\task\init.lua	1402	509	4	c53ddc59
13	842dfb	2015-8-29 16:44:26	\script\missions\tong_melee\tm_head.lua	19343	5562	4	c77e391a
14	85fcff	2020-3-2 9:26:28	\script\skill\npc技能\流派技能\Npc用如来神掌.lua	1686	860	4	36e612e1
15	8d4ea3	2015-8-29 16:44:42	\script\task\weekend\item_bg08.lua	162	162	0	36562155
16	8fc151	2010-11-30 20:34:4	\settings\droprate\npcdropratetj004.ini	399	170	4	d1e14786
17	9224c2	2015-8-29 16:44:4	\script\online\qingming\transport_in_BJ.lua	2491	1316	4	c0ae1ac1
18	9c93bc	2015-8-29 16:43:56	\script\online\qianhe_tower\qht_relay_call.lua	122	122	0	fd9bf0d3
19	aa5df3	2015-8-29 16:44:6	\script\skill\npc技能\boss陷阱.lua	1512	765	4	c7d67456
20	b50a10	2015-8-29 16:44:26	\script\missions\northwest_mission\stage\stage_4.lua	6092	2404	4	826fc10d
21	bd8a3c	2015-8-29 16:44:26	\script\missions\tong_melee\npc\tm_mssion_npc.lua	455	372	4	402be3d8
22	bfd935	2015-8-29 16:44:30	\script\藏剑山庄\剑冢\trap\水木.lua	67	67	0	cf2858ff
23	c49776	2015-8-29 16:44:10	\script\skill\秘籍武功\四灵紫衣诀.lua	1243	688	4	90a40c55
24	c4b9b5	2015-8-29 16:44:10	\script\skill\宠物技能\大海无量.lua	1041	585	4	ca9401e0
25	c4d9ac	2014-5-5 19:33:56	\settings\static_script\vip_feedback_system\ib_consumme_level.lua	799	453	4	a29b4931
26	c8c51a	2015-8-29 16:44:10	\script\skill\翠烟舞仙\梦蛇.lua	2052	879	4	34aa2eb0
27	d03622	2010-11-30 20:34:4	\settings\task\chain_task\kill_monster_37.txt	16554	2718	4	d4567452
28	d1210a	2020-2-26 15:6:18	\script\online\viet_event\200909\2\xiaoniansou_baoguo.lua	2872	1143	4	2e3012e9
29	dbfac5	2020-8-11 0:8:34	\script\西北区\凤翔府北\trap\凤翔府北to龙门镇.lua	97	97	0	2d7f7406
30	e20482	2010-11-30 20:34:4	\settings\droprate\npcdropratexb037.ini	161	101	4	262f4caa
31	e517e3	2015-8-29 16:44:6	\script\skill\npc技能\万剑归宗.lua	1033	584	4	6dbb4a6a
32	ec3cc7	2015-8-29 16:44:6	\script\skill\npc技能\npc召唤子弹2.lua	1087	599	4	244de7d7
33	f43c34	2015-8-29 16:44:42	\script\task\weekend\item_callboss_2.lua	207	169	4	bbdabf35
34	f9c3f4	2015-8-29 16:44:42	\script\newbattles\emplacementbattle\mission\injure_timer.lua	634	498	4	eb9a6b4c
35	1036246	2015-8-29 16:44:10	\script\skill\翠烟舞仙\鸾凤九天(子).lua	1156	628	4	6051e7fe
36	10d4ec8	2015-8-29 16:44:34	\script\pop\treasure.lua	2270	868	4	9ad7c496
37	112cd2c	2015-8-29 16:44:36	\script\online_activites\reborn\task\npc\npc_huzishi.lua	134	134	0	615d2c94
38	11ae578	2015-8-29 16:44:32	\script\中原一区\汴京\npc\江湖俊杰.lua	131	131	0	ce849c6b
39	11d27a7	2010-11-30 20:34:4	\settings\droprate\npcdropratetj050.ini	273	153	4	a674418a
40	12491ea	2015-8-29 16:44:8	\script\skill\外传新增\太一塔\NPC光环持续3.lua	971	558	4	378c23bc
41	12678e8	2020-3-2 9:36:26	\script\skill\npc技能\流派技能\Npc用霸王翔凤箭.lua	1538	792	4	a06e2bff
42	143c06e	2015-8-29 16:44:2	\script\online\viet_event\new_year_09\item\red_box.lua	1419	758	4	d3714ea8
43	1714fdf	2010-11-30 20:34:4	\settings\item\lifeskill\zhuangtai.txt	681	298	4	d7c16eb6
44	17271b2	2015-8-29 16:44:12	\script\skill\其他\顺水推舟.lua	1046	583	4	d1599394
45	17eaa39	2020-11-1 20:41:10	\script\online\olympic.2015\oly_trigger.lua	1586	760	4	19ab450b
46	182c60b	2015-8-29 16:44:32	\script\世界地图\空桑山\npc\空桑山丝女甲.lua	280	193	4	210e7492
47	18c3f50	2014-11-25 13:37:16	\script\online\olympic\npc\yellow_sh.lua	2918	1240	4	67bece41
48	1902044	2014-11-25 13:37:16	\script\online\olympic\npc\activity_ds.lua	11086	3918	4	19c2dc9
49	192dbc6	2015-8-29 16:44:20	\script\item\battles\rescript_song.lua	81	81	0	e29cf858
50	196cd23	2020-7-10 2:58:24	\script\online\liangshanboss\item\tiangangsuipian.lua	2092	908	4	900cf57b
51	19dead1	2015-8-29 16:44:34	\script\online_activites\2010_11\activity_01\item\Antidiarrheal.lua	471	322	4	13b62211
52	1a11ec2	2015-8-29 16:44:20	\script\item\bag_wxx.lua	1271	617	4	973c40dd
53	1a1d7a1	2022-7-25 12:25:52	\script\online\viet_event\200909\2\death_goldboss.lua	1525	789	4	1efa2219
54	1a2976a	2015-8-29 16:44:10	\script\skill\唐门\追心箭(招).lua	1075	595	4	31a5411d
55	1a6784a	2015-8-29 16:44:36	\script\online_activites\reborn\effect\npc\npc_add_effect_cloth.lua	23735	4150	4	a03fd904
56	1a7a854	2015-8-29 16:44:24	\script\missions\yp\timer\bc_double_mag.lua	214	200	4	301b7aa1
57	1b3534b	2015-8-29 16:44:4	\script\online\shimenrenwu\item\chanxiuseng.lua	107	107	0	30198345
58	1b757f6	2015-8-29 16:44:40	\script\task\huofengtask\item_huanghuozhixin.lua	28	28	0	eb58624a
59	1c1ba57	2015-8-29 16:44:4	\script\online\shimenrenwu\item\qingqibing.lua	108	108	0	a218495c
60	1c577a2	2015-8-29 16:43:56	\script\online\qixi08\function.lua	8321	2491	4	f82b8f24
61	1cc2e65	2015-8-29 16:43:54	\script\online\dragonboat06\trap\checkpoint48_trap.lua	462	254	4	6379a2e
62	1d155ad	2015-8-29 16:44:28	\script\中原二区\成都\npc\酒楼老板.lua	1640	916	4	2e0fdc82
63	1ed8d55	2014-5-5 19:33:56	\settings\item\enhance\foot_enhance.txt	877	291	4	11f884ce
64	20cf664	2015-8-29 16:44:28	\script\ks2vng\missions\mission_award_add_rate_cfg.lua	3311	903	4	1354118a
65	20d93d8	2015-8-29 16:44:20	\script\item\lifeskill\qingxiu.lua	482	340	4	d303534
66	210d887	2020-10-27 13:53:46	\script\skill\唐门\满天花雨.lua	1613	775	4	7b65a824
67	21fe908	2015-8-29 16:44:16	\script\西北区\沙漠迷宫\trap\沙漠迷宫to药王谷.lua	103	103	0	48765bd1
68	22d100e	2015-8-29 16:44:20	\script\item\lifeskill\siqu.lua	446	335	4	d4d68160
69	24abd5e	2015-8-29 16:44:42	\script\newbattles\mainbattle_primary\box_death.lua	406	272	4	fd712cb5
70	251845c	2015-8-29 16:44:36	\script\online_activites\2010_12\activites_04\npc\tree_npc.lua	12303	3388	4	a51a1b1c
71	263ee08	2012-5-11 15:53:48	\settings\static_script\missions\hunduantongtianding\trap\trap3.lua	106	106	0	cf1e574c
72	2844aa7	2015-8-29 16:44:12	\script\skill\峨嵋出家\流水诀(招).lua	1174	682	4	3add1469
73	286b150	2015-8-29 16:44:8	\script\skill\少林武僧\文殊出云腿.lua	1372	705	4	2e766cf5
74	28c7d5b	2015-8-29 16:44:24	\script\missions\kuafu_battle\npc\zhenqi_miemen.lua	148	144	4	be49e472
75	28e2d89	2015-8-29 16:44:16	\script\西北区\昆仑\npc\石柱.lua	646	472	4	63907fe8
76	28f1425	2015-8-29 16:44:34	\script\pop\npc_lizhijie.lua	2004	994	4	2fbeb752
77	294ef2f	2015-8-29 16:44:18	\script\item\lifeskill\peifang\bailianqianjie.lua	457	345	4	e0765f95
78	29508c9	2022-8-11 12:51:0	\script\中原一区\丐帮\npc\中原储物柜.lua	2506	1241	4	53317755
79	2a58511	2020-1-12 18:46:4	\script\skill\昆仑剑尊\万剑化雨阵.lua	1376	723	4	5d2d3421
80	2a95e09	2014-5-5 19:33:56	\settings\static_script\missions\hunduantongtianding\head.lua	26134	8586	4	66114bd8
81	2b056fa	2015-8-29 16:44:26	\script\missions\liangshan\npc\box_jingli.lua	5951	2140	4	47264169
82	2b12cb6	2015-8-29 16:44:10	\script\skill\宠物技能\特殊宠物技能\浣熊抓击.lua	938	522	4	d8815b14
83	2b69321	2015-8-29 16:44:42	\script\task\world\g_random_head.lua	510	373	4	683cb23f
84	2baf06f	2015-8-29 16:44:6	\script\skill\npc技能\boss紫娟特效.lua	1029	567	4	c3213a57
85	2c055c3	2015-8-29 16:44:10	\script\skill\外传新增\韵灵止战.lua	1016	566	4	75bcd4f8
86	2c450f1	2010-11-30 20:34:4	\settings\tongsetting\tongdutys.txt	370	265	4	d8ed7b52
87	2c9d9d1	2015-8-29 16:44:20	\script\item\changkong.lua	4088	1226	4	c39dd270
88	2e3ad3a	2015-8-29 16:44:30	\script\中原二区\唐门\npc\唐春.lua	1188	666	4	5b0ae3ba
89	2e76035	2015-8-29 16:44:36	\script\online_activites\2010_12\activity_06\npc\monster_death.lua	335	238	4	5dc3bbf6
90	2e7bfab	2015-3-17 16:44:42	\settings\static_script\online\olympic\oly_define.lua	1931	847	4	ca633481
91	2e851fc	2015-8-29 16:44:10	\script\skill\外传新增\燃烧瓶燃烧.lua	923	516	4	2bc60630
92	2f15101	2015-8-29 16:44:26	\script\missions\liangshan\stage\stage_3.lua	6478	1831	4	61e39da7
93	2f9d103	2015-8-29 16:44:8	\script\skill\武当道家\无上太极剑(子1).lua	1621	836	4	8036e43b
94	2fdac0d	2015-8-29 16:44:32	\script\中原一区\天波杨府\npc\杨宗保.lua	12478	4433	4	fec06d50
