ID	Tªn kü n¨ng	Giíi thiÖu s¬ l­îc	§¼ng cÊp yªu cÇu	Yªu cÇu kü n¨ng phèi hîp:	Yªu cÇu danh väng
1	Tay kh«ng tÊn c«ng b×nh th­êng				
2	QuyÒn tÊn c«ng b×nh th­êng				
3	§ao tÊn c«ng b×nh th­êng				
4	KiÕm tÊn c«ng b×nh th­êng				
5	C«n tÊn c«ng b×nh th­êng				
6	Tr­îng tÊn c«ng b×nh th­êng				
7	¸m khİ tÊn c«ng b×nh th­êng				
8	Bót tÊn c«ng b×nh th­êng				
9	§µn cÇm tÊn c«ng b×nh th­êng				
10	NPC §¸nh ngo¹i c«ng (gÇn)				
11	NPC §¸nh ngo¹i c«ng (xa)				
12	NPC §¸nh néi c«ng (gÇn)				
13	NPC §¸nh néi c«ng (xa)				
14	NPC tÊn c«ng tiÔn				
15					
16					
17					
18					
19	Ngåi thiÒn				
20	Khinh c«ng				
21	Hçn Nguyªn NhÊt Khİ C«ng	ThiÕu L©m ®Ö tö tôc gia nhËp m«n t©m ph¸p, gióp kh«i phôc ngo¹i th­¬ng			
22	ThiÕu L©m ®ao ph¸p	ThiÕu L©m ®ao thuËt c¨n b¶n, n©ng cao kü x¶o dïng ®ao	Yªu cÇu ®¼ng cÊp: 10	Yªu cÇu luyÖn thµnh tÇng 1 Hçn Nguyªn NhÊt Khİ C«ng	
23	ThiÕu L©m c«n ph¸p	ThiÕu L©m c«n thuËt c¨n b¶n, n©ng cao kü x¶o dïng c«n	Yªu cÇu ®¼ng cÊp: 10	Yªu cÇu luyÖn thµnh tÇng 1 Hçn Nguyªn NhÊt Khİ C«ng	
24	Tr¶m Ma ®ao ph¸p	ThiÕu L©m ®ao thuËt c¨n b¶n, ra ®ßn nhanh khi ®èi kh¸ng	Yªu cÇu ®¼ng cÊp: 12	Yªu cÇu luyÖn thµnh tÇng 1 ThiÕu L©m §ao ph¸p	Yªu cÇu danh väng: 30 ®iÓm
25	Phong Ma c«n ph¸p	ThiÕu L©m c«n thuËt c¨n b¶n, tÊn c«ng sè İt	Yªu cÇu ®¼ng cÊp: 15	Yªu cÇu luyÖn thµnh tÇng 1 ThiÕu L©m C«n ph¸p	Yªu cÇu danh väng 50 ®iÓm
26	Kim Chung Tr¸o	ThiÕu L©m ®éc m«n t©m ph¸p, t¨ng phßng ngù ngo¹i c«ng	Yªu cÇu ®¼ng cÊp: 22	Yªu cÇu luyÖn thµnh tÇng 5 Hçn Nguyªn NhÊt Khİ C«ng	Yªu cÇu danh väng 100 ®iÓm
27	Nhiªn Méc ®ao ph¸p	ThiÕu L©m ®ao thuËt trung cÊp. <enter>HiÖu qu¶ h¬n khi ®èi kh¸ng hÖ Méc	Yªu cÇu ®¼ng cÊp: 29	Yªu cÇu luyÖn thµnh tÇng 4 Tr¶m Ma §ao ph¸p	Yªu cÇu danh väng 300 ®iÓm
28	V« Th­êng c«n ph¸p	ThiÕu L©m c«n thuËt trung cÊp. <enter>Dïng khİ ®Èy lïi ®èi ph­¬ng	Yªu cÇu ®¼ng cÊp: 32	Yªu cÇu luyÖn thµnh tÇng 4 Phong Ma C«n ph¸p	Yªu cÇu danh väng 500 ®iÓm
29	X¶ Th©n QuyÕt	ThiÕu L©m ngo¹i gia tuyÖt häc.<enter>DÔ dµng khèng chÕ ®èi ph­¬ng	Yªu cÇu ®¼ng cÊp: 39	Yªu cÇu luyÖn thµnh tÇng 6 Kim Chung Tr¸o	Yªu cÇu danh väng 700 ®iÓm
30	§¹i Nh­ Lai Ph¸p	ThiÕu L©m t©m ph¸p th­îng thõa, dïng phËt ph¸p n©ng cao sinh lùc	Yªu cÇu ®¼ng cÊp: 47	Yªu cÇu luyÖn thµnh tÇng 2 X¶ Th©n QuyÕt	Yªu cÇu danh väng 1000 ®iÓm
31	§¹t Ma Vò Kinh	ThiÕu L©m mét trong 72 tuyÖt kü, vâ c«ng cao nhÊt cña c«n vµ ®ao	Yªu cÇu ®¼ng cÊp: 55	Yªu cÇu luyÖn thµnh tÇng 5 Nhiªn Méc §ao ph¸p hoÆc tÇng 5 V« Th­êng C«n ph¸p	Yªu cÇu danh väng 3000 ®iÓm
32	DŞch C©n Kinh	Mét trong 72 tuyÖt kü ThiÕu L©m, thÇn c«ng trÊn ph¸i tôc gia.<enter> T¨ng n¨ng lùc phßng ngù	CÇn ph¶i ®¹t cÊp 80 	Ph¶i häc ®­îc tÊt c¶ vâ c«ng cÊp cao cña bæn ph¸i 	Ph¶i cã 10000 danh väng
33	ThiÕu L©m La H¸n C«ng	ThiÕu L©m vâ t¨ng nhËp m«n t©m ph¸p, gióp håi phôc néi ngo¹i khİ			
34	ThÊt B¶o ChiÕu Ph¸p	ThiÕu L©m vâ t¨ng t©m ph¸p c¨n b¶n<enter>T¨ng c«ng víi néi khİ th©m hËu	Yªu cÇu ®¼ng cÊp: 10	Yªu cÇu luyÖn thµnh tÇng 1 ThiÕu L©m La H¸n C«ng	
35	La H¸n QuyÒn	ThiÕu L©m quyÒn ph¸p c¨n b¶n, dïng néi khİ tÊn c«ng liªn tôc ®èi ph­¬ng	Yªu cÇu ®¼ng cÊp: 12	Yªu cÇu luyÖn thµnh tÇng 1 ThÊt B¶o ChiÕu Ph¸p	Yªu cÇu danh väng: 30 ®iÓm
36	Ca DiÖp Thèi	ThiÕu L©m thèi ph¸p c¨n b¶n, dïng néi khİ tÊn c«ng liªn tôc ®èi ph­¬ng	Yªu cÇu ®¼ng cÊp: 15	Yªu cÇu luyÖn thµnh tÇng 2 ThÊt B¶o ChiÕu Ph¸p	Yªu cÇu danh väng 50 ®iÓm
37	HuÖ Nh·n Chó	ThiÕu L©m ®éc m«n t©m ph¸p, t¨ng chİnh x¸c	Yªu cÇu ®¼ng cÊp: 22	Yªu cÇu luyÖn thµnh tÇng 5 ThiÕu L©m La H¸n C«ng	Yªu cÇu danh väng 100 ®iÓm
38	Vi §µ QuyÒn	ThiÕu L©m quyÒn ph¸p trung cÊp, liªn tôc xuÊt chiªu<enter>Ph¶i ph¸t ®éng La H¸n QuyÒn hoÆc Ca DiÖp Thèi	Yªu cÇu ®¼ng cÊp: 28	Yªu cÇu luyÖn thµnh tÇng 4 La H¸n QuyÒn	Yªu cÇu danh väng 300 ®iÓm
39	V¨n Thï XuÊt V©n Thèi	ThiÕu L©m c­íc ph¸p trung cÊp, liªn tôc xuÊt chiªu<enter>Ph¶i ph¸t ®éng La H¸n QuyÒn hoÆc Ca DiÖp Thèi	Yªu cÇu ®¼ng cÊp: 31	Yªu cÇu luyÖn thµnh tÇng 4 Ca DiÖp Thèi	Yªu cÇu danh väng 500 ®iÓm
40	La H¸n TrËn	ThiÕu L©m tuyÖt kü, trËn ph¸p do nhiÒu vâ t¨ng phèi hîp, uy lùc kinh ng­êi	Yªu cÇu ®¼ng cÊp: 37	Yªu cÇu luyÖn thµnh tÇng 4 HuÖ Nh·n Chó	Yªu cÇu danh väng 600 ®iÓm
41	§¹i Tu Di Ch­ëng	ThiÕu L©m quyÒn thuËt th­îng thõa, dïng néi khİ ph¸t ®éng<enter> ph¸ hiÖu qu¶ phßng ngù nh­ng ph¶i ph¸t ®éng Vi §µ QuyÒn hoÆc V¨n Thï XuÊt V©n Thèi	Yªu cÇu ®¼ng cÊp: 44	Yªu cÇu luyÖn thµnh tÇng 6 Vi §µ QuyÒn	Yªu cÇu danh väng 800 ®iÓm
42	V« ¶nh C­íc	ThiÕu L©m thèi ph¸p th­îng thõa, dïng néi khİ ph¸t ®éng <enter>chíp nho¸ng ®¸nh b¹i ®èi ph­¬ng nh­ng ph¶i ph¸t ®éng Vi §µ QuyÒn hoÆc V¨n Thï XuÊt V©n Thèi	Yªu cÇu ®¼ng cÊp: 48	Yªu cÇu luyÖn thµnh tÇng 6 V¨n Thï XuÊt V©n Thèi	Yªu cÇu danh väng 1000 ®iÓm
43	ThiÕu L©m Long Tr¶o Thñ	ThiÕu L©m mét trong 72 tuyÖt kü, dïng néi khİ ph¸t ®éng.<enter>Søc ®¸nh nh­ vò b·o	Yªu cÇu ®¼ng cÊp: 55	Yªu cÇu luyÖn thµnh tÇng 4 La H¸n TrËn	Yªu cÇu danh väng 3000 ®iÓm
44	Nh­ Lai ThÇn Ch­ëng	Mét trong 72 tuyÖt kü ThiÕu L©m, Vâ t¨ng trÊn ph¸i <enter>Héi tô v« sè ch­ëng phong bao v©y ®Şch.	CÇn ph¶i ®¹t cÊp 80 	Ph¶i häc ®­îc tÊt c¶ vâ c«ng cÊp cao cña bæn ph¸i 	Ph¶i cã 10000 danh väng
45	ThiÕu L©m ThiÒn Viªn C«ng	ThiÕu L©m thiÒn t¨ng nhËp m«n t©m ph¸p, gióp håi phôc néi khİ			
46	Phôc Hæ Khİ C«ng	ThiÕu L©m thiÒn c«ng c¨n b¶n, ®¸nh m¹nh nh­ hæ vå	Yªu cÇu ®¼ng cÊp: 10	Yªu cÇu luyÖn thµnh tÇng 1 ThiÕu L©m ThiÒn Viªn C«ng	
47	ThiÕu L©m Tu T©m Ph¸p	ThiÕu L©m thiÒn t¨ng t©m ph¸p c¨n b¶n, t¨ng hiÖu qu¶ thiÒn c«ng	Yªu cÇu ®¼ng cÊp: 12	Yªu cÇu luyÖn thµnh tÇng 1 ThiÕu L©m ThiÒn Viªn C«ng	Yªu cÇu danh väng: 30 ®iÓm
48	Ngò ChuyÓn ChØ	ThiÕu L©m thiÒn c«ng s¬ cÊp, chuyÓn ®æi thuéc tİnh ngò hµnh phßng ngù ®èi ph­¬ng	Yªu cÇu ®¼ng cÊp: 15	Yªu cÇu luyÖn thµnh tÇng 1 ThiÕu L©m Tu T©m ph¸p	Yªu cÇu danh väng 50 ®iÓm
49	Ph¸ Ma Chó	ThiÕu L©m thiÒn c«ng s¬ cÊp, hãa gi¶i ma lùc thuéc tİnh ©m	Yªu cÇu ®¼ng cÊp: 20	Yªu cÇu luyÖn thµnh tÇng 2 ThiÕu L©m Tu T©m ph¸p	Yªu cÇu danh väng 80 ®iÓm
50	Kim Cang BÊt Ho¹i	§éc m«n t©m ph¸p ThiÕu L©m t¨ng nhiÒu phßng thñ néi c«ng	Yªu cÇu ®¼ng cÊp: 22	Yªu cÇu luyÖn thµnh tÇng 2 Ngò ChuyÓn ChØ	Yªu cÇu danh väng 100 ®iÓm
51	§µ L«i Ph¸	ThiÕu L©m thiÒn c«ng trung cÊp. <enter>HiÖu qu¶ khi ®èi kh¸ng víi thuéc tİnh Thñy	Yªu cÇu ®¼ng cÊp: 26	Yªu cÇu luyÖn thµnh tÇng 5 Phôc Hæ Khİ C«ng	Yªu cÇu danh väng 300 ®iÓm
52	Cµ Sa Phôc Ma thÇn c«ng	ThiÕu L©m thiÒn c«ng trung cÊp, tÊn c«ng theo ®­êng th¼ng	Yªu cÇu ®¼ng cÊp: 31	Yªu cÇu luyÖn thµnh tÇng 6 Phôc Hæ Khİ C«ng	Yªu cÇu danh väng 500 ®iÓm
53	V« T­íng ThÇn C«ng	ThiÕu L©m thiÒn c«ng trung cÊp. <enter>V« hiÖu hãa thuéc tİnh ngò hµnh phßng ngù ®èi ph­¬ng	Yªu cÇu ®¼ng cÊp: 36	Yªu cÇu luyÖn thµnh tÇng 4 Kim Cang BÊt Ho¹i	Yªu cÇu danh väng 600 ®iÓm
54	S­ Tö Hèng	ThiÕu L©m thiÒn c«ng th­îng thõa.<enter>®¸nh diÖn réng vµ thªm hiÖu øng cho¸ng	Yªu cÇu ®¼ng cÊp: 43	Yªu cÇu luyÖn thµnh tÇng 4 Cµ Sa Phôc Ma ThÇn Th«ng	Yªu cÇu danh väng 800 ®iÓm
55	BÊt §éng Minh V­¬ng Chó	ThiÕu L©m thiÒn c«ng th­îng thõa.<enter>®Şnh th©n ®èi ph­¬ng ®ång thêi g©y s¸t th­¬ng ma vËt thuéc tİnh ©m	Yªu cÇu ®¼ng cÊp: 48	Yªu cÇu luyÖn thµnh tÇng 6 Ph¸ Ma Chó	Yªu cÇu danh väng 1000 ®iÓm
56	§¹i Lùc Kim Cang ChØ	ThiÕu L©m mét trong 72 tuyÖt kü.<enter>ChØ phong m¹nh tÊn c«ng trong ph¹m vi nhá	Yªu cÇu ®¼ng cÊp: 55	Yªu cÇu luyÖn thµnh tÇng 6 Nh©n §µ La L«i Ên Ph¸  hoÆc tÇng 2 S­ Tö Hèng	Yªu cÇu danh väng 3000 ®iÓm
57	TÈy Tñy Kinh	Mét trong 72 tuyÖt kü ThiÕu L©m,ThiÒn t¨ng Vâ c«ng TrÊn ph¸i <enter>Lµm cho n¨ng lùc ®èi thñ suy gi¶m.	CÇn ph¶i ®¹t cÊp 80 	Ph¶i häc ®­îc tÊt c¶ vâ c«ng cÊp cao cña bæn ph¸i 	Ph¶i cã 10000 danh väng
58	§­êng M«n ¸m khİ	§­êng M«n nhËp m«n t©m ph¸p, n©ng cao kü x¶o sö dông ¸m khİ			
59	ChÕ ¸m thuËt	§­êng M«n tuyÖt kü c¨n b¶n, ghi l¹i ph­¬ng ph¸p chÕ t¹o ¸m khİ	Yªu cÇu ®¼ng cÊp: 14	Yªu cÇu luyÖn thµnh tÇng 1 T©m Nh·n	Yªu cÇu danh väng 50 ®iÓm
60	T©m Nh·n	§­êng M«n ¸m khİ thuËt c¨n b¶n, t¨ng s¸t th­¬ng khi sö dông thªm ¸m khİ	Yªu cÇu ®¼ng cÊp: 10	Yªu cÇu luyÖn thµnh tÇng 1 §­êng M«n ¸m khİ	
61	§éc Thİch Cèt	§­êng M«n bÉy s¬ cÊp, trong ph¹m vi nhÊt ®Şnh lµm ®èi ph­¬ng tróng ®éc	Yªu cÇu ®¼ng cÊp: 12	Yªu cÇu luyÖn thµnh tÇng 1 §­êng M«n ¸m khİ	Yªu cÇu danh väng: 30 ®iÓm
62	Gi¶i §éc bİ thuËt	§­êng M«n tuyÖt kü s¬ cÊp, gióp gi¶i ®éc	Yªu cÇu ®¼ng cÊp: 17	Yªu cÇu luyÖn thµnh tÇng 2 T©m Nh·n	Yªu cÇu danh väng 60 ®iÓm
63	C©u Hån TÜnh	§­êng M«n bÉy s¬ cÊp, trong ph¹m nhá khiÕn ®èi ph­¬ng hçn lo¹n	Yªu cÇu ®¼ng cÊp: 20	Yªu cÇu luyÖn thµnh tÇng 4 §­êng M«n ¸m khİ	Yªu cÇu danh väng 80 ®iÓm
64	Ph¸ quan thuËt	§­êng M«n tuyÖt kü s¬ cÊp, ®¹o cô th¸o bÉy hoÆc thu håi bÉy	Yªu cÇu ®¼ng cÊp: 22	Yªu cÇu luyÖn thµnh tÇng 2 §éc Thİch Cèt	Yªu cÇu danh väng 100 ®iÓm
65	Truy T©m TiÔn	§­êng M«n ¸m khİ thuËt Trung cÊp, ra ®ßn liªn tiÕp lªn ®èi ph­¬ng	Yªu cÇu ®¼ng cÊp: 25	Yªu cÇu luyÖn thµnh tÇng 3 ¸m khİ chÕ t¸c thuËt	Yªu cÇu danh väng 200 ®iÓm
66	Thu Hµo Minh Tra	§­êng M«n t©m ph¸p Trung cÊp, ph¸t hiÖn ra bÉy cña ®èi ph­¬ng	Yªu cÇu ®¼ng cÊp: 27	Yªu cÇu luyÖn thµnh tÇng 2 C©u Hån TÜnh	Yªu cÇu danh väng 300 ®iÓm
