Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	Lùc phßng	PhÈm chÊt	L­u c	L­u d	L­u e	L­u f	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	Khi sö dông trang bŞ sÏ hiÓn thŞ tªn lo¹i h×nh	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	L­u ( Ch÷ sè)	Gi¸ trŞ
		(113=ƒo)				(12345 Kim Méc Thñy Háa Thæ)																							
		(114=QuÇn )																											
		(115=Trang søc)																											
		(116=§Çu)(117=Ngäc béi)																											
¸m Kim Thiªn V¨n	0	116	11	0	0	1	10											\image\item\wenshi\1¼¶Ã±×ÓÎÆÊÎ½ğa1.spr	\image\item\wenshi\1¼¶Ã±×ÓÎÆÊÎ½ğa0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh kim, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		1	0	1			999
Th­¬ng Thóy Thiªn V¨n	0	116	12	0	0	2	10											\image\item\wenshi\1¼¶Ã±×ÓÎÆÊÎÄ¾a1.spr	\image\item\wenshi\1¼¶Ã±×ÓÎÆÊÎÄ¾a0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh méc, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		1	0	1			999
H¶i Lam Thiªn V¨n	0	116	13	0	0	3	10											\image\item\wenshi\1¼¶Ã±×ÓÎÆÊÎË®a1.spr	\image\item\wenshi\1¼¶Ã±×ÓÎÆÊÎË®a0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thñy, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		1	0	1			999
Bİch Háa Thiªn V¨n	0	116	14	0	0	4	10											\image\item\wenshi\1¼¶Ã±×ÓÎÆÊÎ»ğa1.spr	\image\item\wenshi\1¼¶Ã±×ÓÎÆÊÎ»ğa0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh háa, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		1	0	1			999
LŞch Th¹ch Thiªn V¨n	0	116	15	0	0	5	10											\image\item\wenshi\1¼¶Ã±×ÓÎÆÊÎÍÁa1.spr	\image\item\wenshi\1¼¶Ã±×ÓÎÆÊÎÍÁa0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thæ, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		1	0	1			999
¸m Kim ChiÕn V¨n	0	113	11	0	0	1	10											\image\item\wenshi\1¼¶ÒÂ·şÎÆÊÎ½ğa1.spr	\image\item\wenshi\1¼¶ÒÂ·şÎÆÊÎ½ğa0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh kim, dïng lµm trang søc ¸o		Hoa v¨n-y		1	0	1			999
Th­¬ng Thóy ChiÕn V¨n	0	113	12	0	0	2	10											\image\item\wenshi\1¼¶ÒÂ·şÎÆÊÎÄ¾a1.spr	\image\item\wenshi\1¼¶ÒÂ·şÎÆÊÎÄ¾a0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh méc, dïng lµm trang søc ¸o		Hoa v¨n-y		1	0	1			999
H¶i Lam ChiÕn V¨n	0	113	13	0	0	3	10											\image\item\wenshi\1¼¶ÒÂ·şÎÆÊÎË®a1.spr	\image\item\wenshi\1¼¶ÒÂ·şÎÆÊÎË®a0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thñy, dïng lµm trang søc ¸o		Hoa v¨n-y		1	0	1			999
Bİch Háa ChiÕn V¨n	0	113	14	0	0	4	10											\image\item\wenshi\1¼¶ÒÂ·şÎÆÊÎ»ğa1.spr	\image\item\wenshi\1¼¶ÒÂ·şÎÆÊÎ»ğa0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh háa, dïng lµm trang søc ¸o		Hoa v¨n-y		1	0	1			999
LŞch Th¹ch ChiÕn V¨n	0	113	15	0	0	5	10											\image\item\wenshi\1¼¶ÒÂ·şÎÆÊÎÍÁa1.spr	\image\item\wenshi\1¼¶ÒÂ·şÎÆÊÎÍÁa0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thæ, dïng lµm trang søc ¸o		Hoa v¨n-y		1	0	1			999
¸m Kim HuyÒn V¨n	0	114	11	0	0	1	10											\image\item\wenshi\1¼¶¿ã×ÓÎÆÊÎ½ğa1.spr	\image\item\wenshi\1¼¶¿ã×ÓÎÆÊÎ½ğa0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh kim, dïng lµm trang søc quÇn		Hoa v¨n- trang		1	0	1			999
Th­¬ng Thóy HuyÒn V¨n	0	114	12	0	0	2	10											\image\item\wenshi\1¼¶¿ã×ÓÎÆÊÎÄ¾a1.spr	\image\item\wenshi\1¼¶¿ã×ÓÎÆÊÎÄ¾a0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh méc, dïng lµm trang søc quÇn		Hoa v¨n- trang		1	0	1			999
H¶i Lam HuyÒn V¨n	0	114	13	0	0	3	10											\image\item\wenshi\1¼¶¿ã×ÓÎÆÊÎË®a1.spr	\image\item\wenshi\1¼¶¿ã×ÓÎÆÊÎË®a0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thñy, dïng lµm trang søc quÇn		Hoa v¨n- trang		1	0	1			999
Bİch Háa HuyÒn V¨n	0	114	14	0	0	4	10											\image\item\wenshi\1¼¶¿ã×ÓÎÆÊÎ»ğa1.spr	\image\item\wenshi\1¼¶¿ã×ÓÎÆÊÎ»ğa0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh háa, dïng lµm trang søc quÇn		Hoa v¨n- trang		1	0	1			999
LŞch Th¹ch HuyÒn V¨n	0	114	15	0	0	5	10											\image\item\wenshi\1¼¶¿ã×ÓÎÆÊÎÍÁa1.spr	\image\item\wenshi\1¼¶¿ã×ÓÎÆÊÎÍÁa0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thæ, dïng lµm trang søc quÇn		Hoa v¨n- trang		1	0	1			999
¸m Kim §iªu Søc	0	115	11	0	0	1	10											\image\item\wenshi\1¼¶Ê×ÊÎÎÆÊÎ½ğa1.spr	\image\item\wenshi\1¼¶Ê×ÊÎÎÆÊÎ½ğa0.spr	V¨n søc tinh x¶o h×nh hoa cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh kim, dïng lµm trang søc giíi chØ		V¨n Søc- Trang søc		1	0	1			999
Th­¬ng Thóy §iªu Søc	0	115	12	0	0	2	10											\image\item\wenshi\1¼¶Ê×ÊÎÎÆÊÎÄ¾a1.spr	\image\item\wenshi\1¼¶Ê×ÊÎÎÆÊÎÄ¾a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Méc, dïng lµm trang søc nhÉn		V¨n Søc- Trang søc		1	0	1			999
