Tªn M·o	Lo¹i h×nh chÝnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	(Ngo¹i, néi) phßng	Thuéc tÝnh hç trî 1	TrÞ sè Thuéc tÝnh hç trî 1	Thuéc tÝnh hç trî 2	TrÞ sè Thuéc tÝnh hç trî 2	Sè trang bÞ	§¾ng cÊp yªu cÇu	Giíi tÝnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàÐÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thÞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dÞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chÝ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm	Column1	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11	Column12	Column13	Column14	Column15	Column16	Column17	Column18	Column19	Column20	Column21	Column22	Column23	Column24	Column25	Column26	Column27	Column28	Column29	Column30	Column31	Column32	Column33	Column34	Column35	Column36	Column37	Column38	Column39	Column40	Column41	Column42	Column43	Column44	Column45	Column46	Column47	Column48	Column49	Column50	Column51	Column52	Column53	Column54	Column55	Column56	Column57	Column58	Column59	Column60	Column61	Column62	Column63	Column64	Column65	Column66
ThiÕu HiÖp C©n	0	103	1	5	1	0	20	10;3						2	1	1		\image\item\cap\man1_cap_001a1.spr	\image\item\cap\man1_cap_001a0.spr	<color=gold>ThiÕu HiÖp C©n<color><enter>Lo¹i kh¨n quÊn th«ng th­êng, rÊt dÔ mua	±ê×¼ÄÐÍ·²¿001	M·o		1	0	0		0																																																																							
Phong Vò C©n	0	103	2	5	1	0	25	12;4						8	1	1		\image\item\cap\man1_cap_002a1.spr	\image\item\cap\man1_cap_002a0.spr	<color=gold>Phong Vò C©n<color><enter>Anh hïng hiÖp kh¸ch th­êng sö dông. Quý ph¸i l¹ th­êng	±ê×¼ÄÐÍ·²¿002	M·o		1	0	0		0					Anh Hïng C©n	0	103	3	10	396	0	30	13;4						13	1	1		\image\item\cap\man1_cap_003a1.spr	\image\item\cap\man1_cap_003a0.spr	Ng­êi mang vµo nh­ ®­îc trî thªm khÝ ph¸ch	±ê×¼ÄÐÍ·²¿003	M·o		2	0	0		0					CÈm Bè c©n	0	103	4	5	457	0	25	4;13						14	1	1		\image\item\cap\man1_cap_004a1.spr	\image\item\cap\man1_cap_004a0.spr	Dïng ®Ó bói tãc, rò ra phÝa sau rÊt ®Ñp	±ê×¼ÄÐÍ·²¿012	M·o		2	0	0		0					
Anh Hïng C©n	0	103	3	10	396	0	30	13;4						13	1	1		\image\item\cap\man1_cap_003a1.spr	\image\item\cap\man1_cap_003a0.spr	<color=gold>Anh Hïng C©n<color><enter>Ng­êi mang vµo nh­ ®­îc trî thªm khÝ ph¸ch	±ê×¼ÄÐÍ·²¿003	M·o		2	0	0		0																																																																							
CÈm Bè c©n	0	103	4	5	457	0	25	4;13						14	1	1		\image\item\cap\man1_cap_004a1.spr	\image\item\cap\man1_cap_004a0.spr	<color=gold>CÈm Bè c©n<color><enter>Dïng ®Ó bói tãc, rò ra phÝa sau rÊt ®Ñp	±ê×¼ÄÐÍ·²¿012	M·o		2	0	0		0																																																																							
M·n NguyÖt L¹p	0	103	5	15	725	0	45	15;5						21	1	1		\image\item\cap\man1_cap_005a1.spr	\image\item\cap\man1_cap_005a0.spr	<color=gold>M·n NguyÖt L¹p<color><enter>Dïng ®Ó ®i trong giã tuyÕt	±ê×¼ÄÐÍ·²¿004	M·o		2	0	0		0																																																																							
Kim Phong Qu¸n	0	103	6	10	734	0	35	5;15						22	1	1		\image\item\cap\man1_cap_006a1.spr	\image\item\cap\man1_cap_006a0.spr	<color=gold>Kim Phong Qu¸n<color><enter>ThuÇn ng©n chÕ thµnh. Kh¶m nhiÒu B¶o Th¹ch cùc quý.	±ê×¼ÄÐÍ·²¿008	M·o		2	0	0		0																																																																							
M«ng DiÖn C©n	0	103	7	20	1046	0	60	17;6						30	1	1		\image\item\cap\man1_cap_007a1.spr	\image\item\cap\man1_cap_007a0.spr	<color=gold>M«ng DiÖn C©n<color><enter>Che nöa khu«n mÆt! C¸c hiÖp kh¸ch th­êng dïng khi hµnh hiÖp	±ê×¼ÄÐÍ·²¿015	M·o		3	0	0		0																																																																							
Hoa D­¬ng c©n	0	103	8	10	1115	0	50	6;17						31	1	1		\image\item\cap\man1_cap_008a1.spr	\image\item\cap\man1_cap_008a0.spr	<color=gold>Hoa D­¬ng c©n<color><enter>Lµm tõ t¬ b¨ng tµm ngµn n¨m, bÒn ch¾c v« song	±ê×¼ÄÐÍ·²¿010	M·o		3	0	0		0																																																																							
ThiÕt TuyÕn L¹p	0	103	9	30	1695	0	80	19;7						38	1	1		\image\item\cap\man1_cap_009a1.spr	\image\item\cap\man1_cap_009a0.spr	<color=gold>ThiÕt TuyÕn L¹p<color><enter>ChÕ tõ tinh thiÕt. Chèng ®­îc cung tªn rÊt hiÖu qu¶	±ê×¼ÄÐÍ·²¿005	M·o		3	0	0		0																																																																							
DËt Èn Qu¸n	0	103	10	15	1811	0	65	7;19						39	1	1		\image\item\cap\man1_cap_010a1.spr	\image\item\cap\man1_cap_010a0.spr	<color=gold>DËt Èn Qu¸n<color><enter>Mïi h­¬ng xua ®uæi tÊt c¶ c¸c lo¹i ®éc trïng	±ê×¼ÄÐÍ·²¿007	M·o		3	0	0		0																																																																							
Hång L¨ng C©n	0	103	11	40	3064	0	100	21;8						47	1	1		\image\item\cap\man1_cap_011a1.spr	\image\item\cap\man1_cap_011a0.spr	<color=gold>Hång L¨ng C©n<color><enter>Mïi th¬m cña kh¨n lµm mÊt t¸c dông cña c¸c lo¹i mª h­¬ng d­îc.	±ê×¼ÄÐÍ·²¿016	M·o		4	0	0		0																																																																							
Hµng V©n Thóc ®¸i	0	103	12	20	3302	0	85	8;21						48	1	1		\image\item\cap\man1_cap_012a1.spr	\image\item\cap\man1_cap_012a0.spr	<color=gold>Hµng V©n Thóc ®¸i<color><enter>Dïng ®Ó bói tãc tr­íc khi chiÕn ®Êu	±ê×¼ÄÐÍ·²¿013	M·o		4	0	0		0																																																																							
Thanh Sa Nh·n Tr¸o	0	103	13	50	5074	0	130	23;8						55	1	1		\image\item\cap\man1_cap_013a1.spr	\image\item\cap\man1_cap_013a0.spr	<color=gold>Thanh Sa Nh·n Tr¸o<color><enter>B¶o vÖ cho m¾t. ThÝch hîp chiÕn ®Êu	±ê×¼ÄÐÍ·²¿017	M·o		5	0	0		0																																																																							
XÝch Tinh Nh·n Tr¸o	0	103	14	25	5402	0	110	8;23						56	1	1		\image\item\cap\man1_cap_014a1.spr	\image\item\cap\man1_cap_014a0.spr	<color=gold>XÝch Tinh Nh·n Tr¸o<color><enter>NhÑ nh­ c¸nh chuån chuån. Mµu ®á khiÕn ®èi ph­¬ng ho¶ng sî	±ê×¼ÄÐÍ·²¿011	M·o		5	0	0		0																																																																							
Phi V©n L¹p	0	103	15	60	8260	0	160	24;9						64	1	1		\image\item\cap\man1_cap_015a1.spr	\image\item\cap\man1_cap_015a0.spr	<color=gold>Phi V©n L¹p<color><enter>KÕt b»ng tinh thiÕt. Phßng ngù cùc tèt	±ê×¼ÄÐÍ·²¿006	M·o		6	0	0		0																																																																							
TuyÖt B¶o Qu¸n	0	103	16	30	8605	0	140	9;24						65	1	1		\image\item\cap\man1_cap_016a1.spr	\image\item\cap\man1_cap_016a0.spr	<color=gold>TuyÖt B¶o Qu¸n<color><enter>Kh¶m nhiÒu B¶o Th¹ch quý hiÕm. Gióp c¬ thÓ phôc håi sinh khÝ	±ê×¼ÄÐÍ·²¿014	M·o		6	0	0		0																																																																							
