ID	Type	Title	Remark	BaguaFlag	SpecialOpStr	SpecialOpDesc	BangdingFlag	BatchNum	LimitTaskValue_0	LimitTaskValue_1	CostTaskValue_0	LimitDesc	CostItem_0	CostItem_1	CostItem_2	CostItem_3	CostItem_4	CostVMoney_0	CostVMoney_1	CostVMoney_2	StatKey												
556	1	Long §»ng n©ng cÊp 1	ÁúÌÚËÄº£¹ÚÌåĞÍ1£¬ÌìÃÅ½ğÁî4		save_enhance	B¶o l­u cÊp c­êng hãa, hiÖu qu¶ ®Şnh hån	1						0;103;3056;1	2;1;30370;4							_3												
557	1	Long §»ng n©ng cÊp 1	ÁúÌÚËÄº£¹ÚÌåĞÍ2£¬ÌìÃÅ½ğÁî4		save_enhance	B¶o l­u cÊp c­êng hãa, hiÖu qu¶ ®Şnh hån	1						0;103;3057;1	2;1;30370;4							_3												
558	1	Long §»ng n©ng cÊp 1	ÁúÌÚËÄº£¹ÚÌåĞÍ3£¬ÌìÃÅ½ğÁî4		save_enhance	B¶o l­u cÊp c­êng hãa, hiÖu qu¶ ®Şnh hån	1						0;103;3058;1	2;1;30370;4							_3												
559	1	Long §»ng n©ng cÊp 1	ÁúÌÚËÄº£¹ÚÌåĞÍ4£¬ÌìÃÅ½ğÁî4		save_enhance	B¶o l­u cÊp c­êng hãa, hiÖu qu¶ ®Şnh hån	1						0;103;3059;1	2;1;30370;4							_3												
560	1	Long §»ng n©ng cÊp 2	ÁúÌÚËÄº£¹ÚÌåĞÍ1£¬ÌìÃÅ½ğÁî2£¬¹ÅÁéÓñ300		save_enhance	B¶o l­u cÊp c­êng hãa, hiÖu qu¶ ®Şnh hån	1						0;103;3056;1	2;1;30370;2	2;1;30369;300						_4												
561	1	Long §»ng n©ng cÊp 2	ÁúÌÚËÄº£¹ÚÌåĞÍ2£¬ÌìÃÅ½ğÁî2£¬¹ÅÁéÓñ300		save_enhance	B¶o l­u cÊp c­êng hãa, hiÖu qu¶ ®Şnh hån	1						0;103;3057;1	2;1;30370;2	2;1;30369;300						_4												
562	1	Long §»ng n©ng cÊp 2	ÁúÌÚËÄº£¹ÚÌåĞÍ2£¬ÌìÃÅ½ğÁî2£¬¹ÅÁéÓñ300		save_enhance	B¶o l­u cÊp c­êng hãa, hiÖu qu¶ ®Şnh hån	1						0;103;3058;1	2;1;30370;2	2;1;30369;300						_4												
563	1	Long §»ng n©ng cÊp 2	ÁúÌÚËÄº£¹ÚÌåĞÍ4£¬ÌìÃÅ½ğÁî2£¬¹ÅÁéÓñ300		save_enhance	B¶o l­u cÊp c­êng hãa, hiÖu qu¶ ®Şnh hån	1						0;103;3059;1	2;1;30370;2	2;1;30369;300						_4												
564	1	Ph­îng Vò n©ng cÊp 1	ÁúÌÚËÄº£¹ÚÌåĞÍ1£¬ÌìÃÅ½ğÁî4		save_enhance	B¶o l­u cÊp c­êng hãa, hiÖu qu¶ ®Şnh hån	1						0;103;3060;1	2;1;30370;4							_3												
565	1	Ph­îng Vò n©ng cÊp 1	ÁúÌÚËÄº£¹ÚÌåĞÍ2£¬ÌìÃÅ½ğÁî4		save_enhance	B¶o l­u cÊp c­êng hãa, hiÖu qu¶ ®Şnh hån	1						0;103;3061;1	2;1;30370;4							_3												
566	1	Ph­îng Vò n©ng cÊp 1	ÁúÌÚËÄº£¹ÚÌåĞÍ3£¬ÌìÃÅ½ğÁî4		save_enhance	B¶o l­u cÊp c­êng hãa, hiÖu qu¶ ®Şnh hån	1						0;103;3062;1	2;1;30370;4							_3												
567	1	Ph­îng Vò n©ng cÊp 1	ÁúÌÚËÄº£¹ÚÌåĞÍ4£¬ÌìÃÅ½ğÁî4		save_enhance	B¶o l­u cÊp c­êng hãa, hiÖu qu¶ ®Şnh hån	1						0;103;3063;1	2;1;30370;4							_3												
568	1	Ph­îng Vò n©ng cÊp 2	ÁúÌÚËÄº£¹ÚÌåĞÍ1£¬ÌìÃÅ½ğÁî2£¬¹ÅÁéÓñ300		save_enhance	B¶o l­u cÊp c­êng hãa, hiÖu qu¶ ®Şnh hån	1						0;103;3060;1	2;1;30370;2	2;1;30369;300						_4												
569	1	Ph­îng Vò n©ng cÊp 2	ÁúÌÚËÄº£¹ÚÌåĞÍ2£¬ÌìÃÅ½ğÁî2£¬¹ÅÁéÓñ300		save_enhance	B¶o l­u cÊp c­êng hãa, hiÖu qu¶ ®Şnh hån	1						0;103;3061;1	2;1;30370;2	2;1;30369;300						_4												
570	1	Ph­îng Vò n©ng cÊp 2	ÁúÌÚËÄº£¹ÚÌåĞÍ2£¬ÌìÃÅ½ğÁî2£¬¹ÅÁéÓñ300		save_enhance	B¶o l­u cÊp c­êng hãa, hiÖu qu¶ ®Şnh hån	1						0;103;3062;1	2;1;30370;2	2;1;30369;300						_4												
