Tªn yÕu quyÕt	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Sè thø tù mËt tŞch	L­u	id kü n¨ng (dïng ph¸n ®o¸n lo¹i trõ)	L­u2	L­u3	L­u4	L­u5	L­u6	L­u7	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)8	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	L­u ( Ch÷ sè)9	L­u ph¸i (L­u ph¸i id. Kh«ng ®iÒn hoÆc mÆc ®Şnh sè nhá h¬n 0 ®Òu cã thÓ t¶i)	L­u ( Ch÷ sè)10	Column11
ThiÕu L©m §ao quyÕt	2	6	1	1	1	1	1		22									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>ThiÕu L©m §ao quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold>T¨ng chİnh x¸c		QuyÕt YÕu	\script\item\addenda.lua	7	0		2		
ThiÕu L©m C«n quyÕt	2	6	2	1	1	1	2		23									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>ThiÕu L©m C«n quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold>N©ng cao tû lÖ néi ngoai c«ng phßng ngù trong qu¸ tr×nh thi triÓn Phong Ma C«n Ph¸p, V« Th­êng C«n Ph¸p		QuyÕt YÕu	\script\item\addenda.lua	7	0		2		
Tr¶m Ma §ao quyÕt	2	6	3	1	1	1	3		24									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>Tr¶m Ma §ao quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>T¨ng lùc c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		2		
Phong C«n quyÕt	2	6	4	1	1	1	4		25									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>Phong C«n quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>KhiÕn kÎ ®Şch gi¶m tèc ®é néi c«ng c«ng kİch, tèc ®é xuÊt chiªu gi¶m trong thêi gian ng¾n		QuyÕt YÕu	\script\item\addenda.lua	7	0		2		
Kim Chung Tr¸o quyÕt	2	6	5	1	1	1	5		26									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>Kim Chung Tr¸o quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold>T¨ng ®iÓm phßng ngù néi c«ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		2		
Nhiªn Méc §ao quyÕt	2	6	6	1	1	1	6		27									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>Nhiªn Méc §ao quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>KhiÕn môc tiªu gi¶m tû lÖ phßng ngù néi ngo¹i c«ng trong 10 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		2		
V« Th­êng C«n quyÕt	2	6	7	1	1	1	7		28									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>V« Th­êng C«n quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>Cã tû lÖ t¨ng tèc ®é di chuyÓn trong 1 kho¶n thêi gian 		QuyÕt YÕu	\script\item\addenda.lua	7	0		2		
X¶ Th©n QuyÕt	2	6	8	1	1	1	8		29									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>X¶ Th©n QuyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold>Gi¶m thêi gian gi¶n c¸ch		QuyÕt YÕu	\script\item\addenda.lua	7	0		2		
§¹i Nh­ Lai quyÕt	2	6	9	1	1	1	9		30									\image\item\book\jue_004a1.spr	\image\item\book\jue_004a0.spr	<color=gold>§¹i Nh­ Lai quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold>T¨ng tû lÖ miÔn dŞch hçn lo¹n		QuyÕt YÕu	\script\item\addenda.lua	7	0		2		
§¹t Ma Vò quyÕt	2	6	10	1	1	1	10		31									\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	<color=gold>§¹t Ma Vò quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>T¨ng tû lÖ khëi ®éng chiªu thøc 1		QuyÕt YÕu	\script\item\addenda.lua	7	0		2		
ThÊt B¶o ChiÕu quyÕt	2	6	11	1	1	1	11		34									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>ThÊt B¶o ChiÕu quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold>T¨ng giíi h¹n tô khİ		QuyÕt YÕu	\script\item\addenda.lua	7	0		4		
La H¸n QuyÒn quyÕt	2	6	12	1	1	1	12		35									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>La H¸n QuyÒn quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold> KhiÕn tû lÖ phßng ngù môc tiªu gi¶m trong 10 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		4		
Ca DiÖp Thèi quyÕt	2	6	13	1	1	1	13		36									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>Ca DiÖp Thèi quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold>Cã tû lÖ héi phôc 1 « né khİ sau khi thi triÓn xong kü n¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		4		
HuÖ Nh·n quyÕt	2	6	14	1	1	1	14		37									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>HuÖ Nh·n quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> tÊt c¶ c«ng kİch cã tû lÖ nhÊt ®Şnh hoµn toµn bá qua nĞ tr¸nh cña ®èi thñ		QuyÕt YÕu	\script\item\addenda.lua	7	0		4		
Vi §µ quyÕt	2	6	15	1	1	1	15		38									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>Vi §µ quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold> kĞo dµi thêi gian kÕt nèi		QuyÕt YÕu	\script\item\addenda.lua	7	0		4		
V¨n V©n quyÕt	2	6	16	1	1	1	16		39									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>V¨n V©n quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold> Më réng ph¹m vi s¸t th­¬ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		4		
La H¸n TrËn quyÕt	2	6	17	1	1	1	17		40									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>La H¸n TrËn quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> Më réng ph¹m vi hiÖu qu¶ cña vßng s¸ng, gi¶m tiªu hao néi lùc 		QuyÕt YÕu	\script\item\addenda.lua	7	0		4		
§¹i Tu Di Ch­ëng	2	6	18	1	1	1	18		41									\image\item\book\jue_004a1.spr	\image\item\book\jue_004a0.spr	<color=gold>§¹i Tu Di Ch­ëng<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold> Cã x¸c xuÊt khiÕn môc tiªu ®Şnh th©n 2 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		4		
V« ¶nh quyÕt	2	6	19	1	1	1	19		42									\image\item\book\jue_004a1.spr	\image\item\book\jue_004a0.spr	<color=gold>V« ¶nh quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold> Më réng ph¹m vi s¸t th­¬ng, n©ng cao lùc c«ng kİch có ®¸ cuèi cïng		QuyÕt YÕu	\script\item\addenda.lua	7	0		4		
Long Tr¶o Thñ quyÕt	2	6	20	1	1	1	20		43									\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	<color=gold>Long Tr¶o Thñ quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold>T¨ng tû lÖ khëi ®éng chiªu thøc 1		QuyÕt YÕu	\script\item\addenda.lua	7	0		4		
Phôc Hæ quyÕt	2	6	21	1	1	1	21		46									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>Phôc Hæ quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold>T¨ng tèc ®é xuÊt chiªu		QuyÕt YÕu	\script\item\addenda.lua	7	0		3		
