Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Håi phôc thuéc tİnh1	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (1)	Håi phôc thuéc tİnh2	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (2)	Håi phôc thuéc tİnh3	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (3)	Håi phôc thuéc tİnh4	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (4)	Thêi gian duy tr× hiÖu lùc (Sè ch½n)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)2	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã thÓ giao dŞch hay kh«ng ( 0 cã thÓ giao dŞch, cã thÓ b¸n; 1 kh«ng thÓ giao dŞch kh«ng thÓ b¸n; 2 cã thÓ b¸n, kh«ng thÓ giao dŞch; 3 kh«ng thÓ b¸n, cã thÓ giao dŞch; 4 cã thÓ b¸n, sau khi mang vµo sÏ bŞ khãa)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	B¶o l­u 1	B¶o l­u 2	B¶o l­u 3	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Thiªn C¬ Bµi	2	1	1	1	0	1												\image\item\ring\Ò«ÈÕÖ®ÔÆ»¢ÁîÅÆa1.spr	\image\item\ring\Ò«ÈÕÖ®ÔÆ»¢ÁîÅÆa0.spr	<color=gold>Thiªn C¬ Bµi<color><enter>Thiªn c¬. Ng­êi phµm kh«ng thÓ nhËn thøc ®­îc.		ThÇn bİ	\settings\static_script\cheat\thiencolenh.lua	1	2	1							
Long Phông kÕt	2	3	1	2	2	999												\image\item\other\skius_001a1.spr	\image\item\other\skius_001a0.spr	<color=gold>Long Phông kÕt<color><enter>Cã thÓ gäi ®ång ®éi ®Õn hç trî		Tiªu hao		1									
Long Hoµng lÖnh	2	3	2	2	2	999												\image\item\other\skius_002a1.spr	\image\item\other\skius_002a0.spr	<color=gold>Long Hoµng lÖnh<color><enter>Bang chñ dïng lÖnh nµy ®Ó gäi bang chóng.		Tiªu hao		1									
Cµn Kh«n kÕt	2	3	3	2	2	999												\image\item\other\skius_003a1.spr	\image\item\other\skius_003a0.spr	<color=gold>Cµn Kh«n kÕt<color><enter>Cã thÓ dïng ®Ó trë l¹i n¬i xuÊt ph¸t.		Tiªu hao		1									
Thiªn PhËt Ch©u	2	3	4	1	2	999												\image\item\other\skius_004a1.spr	\image\item\other\skius_004a0.spr	<color=gold>Thiªn PhËt Ch©u<color><enter>Cã thÓ lµm thay ®æi thuéc tİnh ngò hµnh		Tiªu hao		1									
¸m khİ	2	11	0	0	0	2000												\image\item\other\skius_005a1.spr	\image\item\other\skius_005a0.spr	<color=gold>¸m khİ<color><enter>§Ö tö §­êng M«n lu«n ®eo bªn ng­êi.		Tiªu hao		1	1								
C¬ quan	2	3	6	1	1	999												\image\item\other\skius_006a1.spr	\image\item\other\skius_006a0.spr	<color=gold>C¬ quan<color><enter>§Ö tö §­êng M«n dïng ®Ó ®Æt bÉy		Tiªu hao		1									
X¸ Lîi Kim ®¬n	2	3	7	2	2	999												\image\item\other\skius_007a1.spr	\image\item\other\skius_007a0.spr	<color=gold>X¸ Lîi Kim ®¬n<color><enter>§­îc lµm tõ cèt phËt, cã thÓ håi sinh bÊt tö.		Tiªu hao		1									
Cù Tö lÖnh	2	3	8	2	2	999												\image\item\other\skius_008a1.spr	\image\item\other\skius_008a0.spr	<color=gold>Cù Tö lÖnh<color><enter>N¾m gi÷ tİn vËt nµy míi cã thÓ sö dông H¾c Tö kiÕm ph¸p.		Tiªu hao		1									
Mª Hån TuyÕn	2	3	9	2	2	999												\image\item\other\skius_009a1.spr	\image\item\other\skius_009a0.spr	<color=gold>Mª Hån TuyÕn<color><enter>Cã thÓ ph©n rång thµnh rång, ph©n hæ thµnh hæ.		Tiªu hao		1									
