ID	SkillID	AttriType	AttriContent	AdjustValue	AdjustPercent	NeedSync
1	172;173;174	1	skill_effect_persist_time	3		
2	55;208;209	1	skill_effect_persist_time	2		
3	42	1	cost_gas_point	-1		
4	65;213;214;	2	damage_life		30	
5	70;215;216	2	damage_life		30	
6	73;301;303	2	damage_life		30	
7	82	1	skill_cast_interval	-90		1
8	82;224	1	skill_effect_persist_time	5		1
9	96	0	state_add_qin_persist_time		100	
10	92	0	state_qin_cast_interval_reduce		100	
11	108;237	0	state_physical_parmor_per_dec_no_ignore	100		
12	121;245;246	0	state_p_attack_percent_dec	25		
13	121;245;246	0	state_m_attack_percent_dec	25		
14	130;136;143	0	state_burst_enhance_rate	30		
15	147	0	state_dodge_percent_adjust	25		
16	724;729;731	1	skill_cast_interval		-30	1
17	744	1	skill_cast_interval	-90		1
18	744;765;766	2	damage_life		30	
19	364	0	imme_evil_spirit		40	
20	351;361	2	damage_life		30	
21	353;378;379	2	damage_life		30	
22	1029;1044;1050	2	damage_life		30	
23	1029	1	skill_sub_skill1_probability	20		
24	1029	1	skill_sub_skill2_probability	20		
25	1166	0	state_cast_technique_rate	15		
26	1217	0	state_strength_attack_per_add	50		
